Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
AlignTec Incorporated,AlignTec,,970-375-2771,www.aligntec.net,CO,Fixed Broadband,No
"Armstrong Telecommunications, Inc.",,"Armstrong Holdings, Inc.",1-800-734-1146,www.armstrongonewire.com,"KY, MD, NY, OH, PA, WV",Fixed Broadband,No
"DM Wireless, LLC",,,787-621-0527,www.dmwireless.com,PR,Fixed Broadband,No
Hiawatha Telephone Company,,"Hiawatha Communications, Inc",906-387-9911,www.jamadots.com,MI,Fixed Broadband,No
Home Telephone Co.,,"Progressive Voice & Data, Inc.",618-644-2111,www.hometel.com,IL,Fixed Broadband,No
J.E.D Enterprises,Pine Drive Telephone Company,,719-485-3998,www.pinedrivetel.com,CO,Fixed Broadband,No
Mapleton Communications Management Agency,Mapleton Communications,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
Midway Telephone Company,,"Hiawatha Communications, Inc",906-355-2300,www.jamadots.com,MI,Fixed Broadband,No
Ontonagon County Telephone Company,,"Hiawatha Communications, Inc",906-884-9911,www.jamadots.com,MI,Fixed Broadband,No
Reedsburg Utility Commission,LightSpeed,,608-768-1000,www.ruclightspeed.com,WI,Fixed Broadband,No
Scranton Telephone Company,,,712-652-3355,www.scrantontelephone.com,IA,Fixed Broadband,No
"Siuslaw Broadband, LLC",Hyak,,541-902-5101,https://hyak.co,OR,Fixed Broadband,No
"Surf Air Wireless, LLC",Surfbroadband Solutions,"Surf Air Wireless Holdings, LLC",219-326-5252,www.surfairwireless.com,"IL, IN, MI",Fixed Broadband,No
"VPNet, INc",,,787-520-7199,www.redverde.com/,PR,Fixed Broadband,Yes
Wyoming Mutual Telephone Company,,,1-855-249-1831,www.wyomingtel.com,IA,Fixed Broadband,No
Jefferson Telephone Company,Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,SD,Fixed Broadband,Yes
Mutual Telephone Company,,,1-877-216-9951,www.mtc4me.com,KS,Fixed Broadband,No
The North-Eastern Pennsylvania Telephone Company,,,866-785-3131,www.nep.net,PA,Fixed Broadband,No
Alaska Telephone Company,,Alaska Power and Telephone Company,800-982-0136,www.aptalaska.com/,AK,Fixed Broadband,No
"Atlantic Broadband Finance, LLC",,,888-536-9600,https://atlanticbb.com/,"CT, DE, FL, ME, MD, NH, NY, PA, SC, VA, WV",Fixed Broadband,No
"Bulloch County Rural Telephone Cooperative, Inc.",Bulloch Solutions,,912-865-1100,https://bulloch.solutions/,GA,Fixed Broadband,No
Chickamauga Telephone Corporation,CTC,"Fail, Inc.",706-375-3195,www.chickamauga.com,GA,Fixed Broadband,No
Citizens Telephone Company of Kecksburg,,Citizens Telephone Company of Kecksburg,724-423-4444,www.citizensfiber.com,PA,Fixed Broadband,No
"Fulton Telephone Company, Inc",FTC,"Fail, Inc.",662-862-5000,www.fultontelephone.com/,MS,Fixed Broadband,No
Hamilton Long Distance Company,,"Nedelco, Inc.",402-694-5101,www.hamiltonLongDistance.com,NE,Fixed Broadband,No
Hamilton Telephone Company,,"Nedelco, Inc.",402-694-5101,www.hamiltontel.com,NE,Fixed Broadband,No
"Mound Bayou Telephone & Communications, Inc.",MBTC,"Fail, Inc.",662-741-2559,www.moundbayou.com,MS,Fixed Broadband,No
Ontario Telephone Company,,"Future Fiber FinCo, LLC",1-866-353-7209,https://ottctel.com/,NY,Fixed Broadband,No
South Canaan Telephone Company,LHTC Broadband,"Laurel Highland Total Communications, Inc.",570-937-4114,www.lhtcbroadband.com,PA,Fixed Broadband,No
Subsector Solutions Corp.,Treasure State Internet & Telegraph,,406-204-4777,www.tsi.io,MT,Fixed Broadband,Yes
Trumansburg Telephone Company,,"Future Fiber FinCo, LLC",1-866-353-7209,https://ottctel.com,NY,Fixed Broadband,No
Warm Springs Telecommunications Company,Warm Springs Telecom,,541-615-0555,www.wstel.com,OR,Fixed Broadband,No
Fort Randall Telephone Company,Fort Randall Telephone Company DBA Mt. Rushmore Telephone Company,"Hanson Communications, Inc.",888-283-7667 or 888-284-7667,www.hcinet.net,SD,Fixed Broadband,No
"ProTek Communications, LLC",,"ProTek Communications, LLC",618-207-2545,www.protekweb.com,IL,Fixed Broadband,No
Ronan Telephone Company,Access Montana,,406-676-3300,www.accessmontana.com,MT,Fixed Broadband,No
Dunkerton Telephone Cooperative,,,319-822-4512,www.dunkerton.net,IA,Fixed Broadband,No
"Hardy Telecommunications, Inc.",,,304-897-9911,www.hardynet.com,WV,Fixed Broadband,No
Farmers Mutual Telephone Company,,,208-452-2000,www.fmtc.com,ID,Fixed Broadband,No
"Clearnetworx, LLC","Clearnetworx, LLC",,844-240-6600,www.clearnetworx.com,CO,Fixed Broadband,No
Zavala Communications,,,831-753-3700,www.zavalacommunications.com,CA,Fixed Broadband,No
Bare Necessities LLC,AirGrids,Bare Necessities LLC,406-924-9247,www.airgrids.com,MT,Fixed Broadband,No
"The Tri-County Telephone Association, Inc.",TCT,,620-767-5153 or 800-362-2576,www.tctelco.net,KS,Fixed Broadband,No
"Lakefield Telephone Company, LLC",Nsight Telservices,"Northeast Communications of Wisconsin, Inc.",800-826-5215,www.nsighttel.com,WI,Fixed Broadband,No
"Wisper ISP, LLC",,,800-765-7772,www.wisperisp.com,"AR, IL, IN, KS, MO, OK",Fixed Broadband,Yes
Mountain View Telephone Company,YELCOT,Yelcot Holding Company,800-354-3360,www.yelcot.com,AR,Fixed Broadband,No
Greenfield Community Energy & Technology,GCET,City of Greenfield,413-775-6400,www.gcet.net,MA,Fixed Broadband,No
Midwest Energy Cooperative,Midwest Energy & Communications,,800-492-5989,www.teammidwest.com,MI,Fixed Broadband,Yes
"LUMEN Technologies, Inc.",CenturyLink or Quantum Fiber,,800-692-7380,www.centurylink.com,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, LA, MI, MN, MS, MO, MT, NE, NV, NJ, NM, NC, ND, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WY",Fixed Broadband,No
Mid-Hudson Cablevision,,,800-342-5400,www.mhcable.com,NY,Fixed Broadband,No
"UniTel, Inc",,"UniTek, Inc.",207-948-C881:K8923900,www.unitelme.com,ME,Fixed Broadband,No
"New Hope Telephone Cooperative, Inc.",,,256-723-4211,www.nhtc.coop,AL,Fixed Broadband,No
"UVNV, Inc.",,Ka'ena Corporation,1-888-777-0446,www.ultramobile.com/,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",Mobile Broadband,No
Northwest Communications Coop Assoc,Northwest Communications,,712-776-2222,www.ncn.net or www.northwest.coop,IA,Fixed Broadband,No
"Kraus Electronic Systems, Inc.",,,1-800-442-2253,http ://krausonline.com/,IL,Fixed Broadband,No
Panora Communications Cooperative,Panora Telco,,641-755-2424,www.panoratelco.com,IA,Fixed Broadband,No
"Mahaska Communication Group, LLC",,,641-676-1111,www.mahaska.org,IA,Fixed Broadband,No
"Western Broadband, LLC",Orbitel Communications,"Schurz Communications, Inc",520-568-8890,https://www.orbitelcom.com,AZ,Fixed Broadband,No
"Orbitel Services, LLC",Orbitel Communications,"Schurz Communications, Inc",520-568-8890,www.orbitelcom.com,AZ,Fixed Broadband,No
"Advanced Stream, Inc.",,,253-627-8000,www.advancedstream.com,"UT, WA",Fixed Broadband,No
"Guthrie Telecommunications Network, Inc",Guthrie Center Communications,,641-332-2000,www.guthriecentercom.com,IA,Fixed Broadband,No
"Antietam Cable Television, LLC",Antietam Broadband,"Schurz Communications, Inc.",301-797-5000,www.antietambroadband.com,MD,Fixed Broadband,No
"Digital Network Access Communications, Inc.",DNA Communications,,815-562-4290,www.dnacom.com,IL,Fixed Broadband,No
Computer Link Northwest LLC,Skamokawa Internet Services,,360.795.5000,www.skamokawa.net,WA,Fixed Broadband,No
The Conneaut Telephone Company,GreatWave Communications,,440-593-7140,www.greatwavecom.com,OH,Fixed Broadband,No
"Digital Connections, Inc.",PRODIGI,,304-777-4444,www.prodigiwv.net,WV,Fixed Broadband,No
"Velociter Wireless, Inc.",,,209-838-1221,www.velociter.net,CA,Fixed Broadband,No
"Liberty Communications of Puerto Rico, LLC",,,787-355-3535,www.libertypr.com,PR,Fixed Broadband,No
"Worldnet Telecommunications, LLC.",,,787-705-9998,www.worldnetpr.com,PR,Fixed Broadband,No
"Gold Star Communications, LLC",Silver Star Communications,,877-883-2411,www.silverstar.com,"ID, WY",Mobile Broadband,No
Blue Ridge Mountain Electric Membership Corporation,,,706-379-3121,www.brmemc.com,"GA, NC",Fixed Broadband,No
Aristotle Unified Communications,,,1-800-995-2747,www.aristotle.net,"AR, IL, MS, MO, OK",Fixed Broadband,No
Clear Lake Independent Telephone Company,,,641-357-2111,www.cltel.com,IA,Fixed Broadband,No
"WireStar, Inc.",WireStar Networks,,888-999-1525,www.wirestar.net,TX,Fixed Broadband or Mobile Broadband,Yes
"REAL Mobile, Inc.",,,888-520-6273,https://myrealmobile.com,FL,Fixed Broadband or Mobile Broadband,Yes
Ventura Telephone Company,,,641-357-2111,www.cltel.com,IA,Fixed Broadband,No
Corn Belt Telephone Company,"Corn Belt Communications, Inc.",,712-664-2221,www.cornbelttelephone.com,IA,Fixed Broadband,No
World Connection PR,,,787-500-2222,www.worldconnectionpr.com,PR,Fixed Broadband,No
"Columbine Telephone Company, Inc.",Silver Star Communications,,877-883-2411,www.silverstar.com,ID,Fixed Broadband,No
"Silver Star Telephone Company, Inc.",Silver Star Communications,,877-883-2411,www.silverstar.com,WY,Fixed Broadband,No
"GigaBeam Networks, LLC",,"WVVA.net, Inc.",540-726-2317,www.gigabeam.net,"KY, VA, WV",Fixed Broadband,No
"Succeed, Inc.",Succeed.Net,,530-674-4200,www.succeed.net,CA,Fixed Broadband,Yes
AmigoNet,,,,www.amigonetpr.com,PR,Fixed Broadband,No
"Columbus Communications Services, LLC",Optic Communications,,620-429-3132,www.optic-communications.com,KS,Fixed Broadband,No
"VelocityNet PR, LLC",,VelocityNet PR,787-624-3114,https://velocitynetpr.com/,PR,Fixed Broadband,No
Monmouth Independence Network,MINET,,503-837-0700,www.minetfiber.net,OR,Fixed Broadband,No
White Cloud Technologies LLC,White Cloud Networks,,1-888-959-0222,https://whitecloudcom.com/contact-us/,"ID, NV",Fixed Broadband,No
"iFiber Communications, Corporation","iFiber Communications, Corporation",,509-754-2600,www.ifiber.tv,WA,Fixed Broadband,No
Foursight Communications LLC,Trilight,,1-833-847-0824,https://www.trilight.net/,TN,Fixed Broadband,No
Spry Wireless Communications Inc.,Spry Air Fiber Internet,,512-729-7797,www.sprynext.com,TX,Fixed Broadband,No
City of Morganton,CoMPAS Cable,,828-438-5353,www.compasxstream.com,NC,Fixed Broadband,No
Trailrunner LLC,,"Wireless Partners, LLC",207-761-4286,www.mytrailrunner.com,"ME, NH, VT",Fixed Broadband,No
Halstad Telephone Company,,,218-456-2125,www.halstadtel.com,"MN, ND",Fixed Broadband,No
"OzarksGo, LLC",OzarksGo,Ozarks Electric Cooperative,479-684-4900,www.ozarksgo.net,"AR, OK",Fixed Broadband,No
Dell Telephone Cooperative. Inc,,"Dell Telephone Cooperative, Inc.",915-964-2352,www.delltelephone.com,"NM, TX",Fixed Broadband,No
"Mission Valley Communications, LLC",,,915-764-4400,www.mvcwireless.com,TX,Fixed Broadband,No
Hamilton.net Inc.,,"Nedelco, Inc.",402-694-5101,www.hamilton.net,NE,Fixed Broadband,No
"Valley Communications Association, LLC",,,775-727-5312,www.valleycom.com,NV,Fixed Broadband,No
"Connectivity Solutions, LLC",Boom Solutions,,787-333-0230,www.boomsolutionspr.com,PR,Fixed Broadband,No
"4NET, INC",,,787-520-9999,www.4netpr.com,PR,Fixed Broadband,No
"Progressive Rural Telephone Cooperative, Inc.",,,478-984-4201,www.progressivetel.com,GA,Fixed Broadband,No
Green Hills Telephone Corporation,,,660-644-5411,www.greenhills.net,MO,Fixed Broadband,No
"BLIP Networks, LLC",,,877-711-2547,www.gotblip.com,IL,Fixed Broadband,No
Angeles Enterprises Corp.,Wind Net,,787-878-6422,www.wfiberpr.com,PR,Fixed Broadband,No
Stayton Cooperative Telephone Company,SCTC,,503-769-2121,www.wvi.com,OR,Fixed Broadband,No
"Anza Electric Cooperative, Inc.",,,951-763-4333,www.anzaelectric.org or www.connectanza.org,CA,Fixed Broadband,No
Meeker Cooperative Light and Power Association,VIBRANT Broadband,,320-693-3231,www.vibrantbb.net,MN,Fixed Broadband,No
"Professional Value Internet Services, LLC",ProValue.Net,,405-624-6000,www.provalue.net,OK,Fixed Broadband,No
"Paradise Energy Solutions, LLC",Upward Broadband,"Paradise Energy Solutions, LLC DBA Upward Broadband",717-869-0968,www.upwardbroadband.com/,PA,Fixed Broadband,No
People's Telephone Co.,PTC,,503-769-2121,www.wvi.com,OR,Fixed Broadband,No
"Hotspotpr Broadband Internet, LLC",,LLC,787-338-0101,www.hotspotpr.net,PR,Fixed Broadband,No
Clear Creek Mutual Telephone,Clear Creek Communications,,503-631-2101,www.ccmtc.com,OR,Fixed Broadband,No
SurgePhone Wireless LLC,,"Surge Holdings, Inc.",855-578-2677,www.locoRabbit.com or www.surgePhone.com,"CA, CO, FL, IL, MD, MS, MO, NV, NJ, OH, OK, RI, TN, TX",Mobile Broadband,Yes
AmeriMex Communications Corp.,SafetyNet Wireless,,1-888-224-3213,www.safetynetwireless.com,"CA, CO, GA, KY, MI, MO, NY, OK, PA, WI",Mobile Broadband,Yes
"ClearCom, Inc.",Sandwich Isles Broadband Services,"ClearCom, Inc.",808-540-5754 or 1-888-995-7274,www.sandwichisles.com/sibs.html,HI,Fixed Broadband,No
"WTC Communications, Inc.",,,563-732-3000,www.wtccommunications.com/,IA,Fixed Broadband,No
Electric Plant Board of the City of Glasgow,,"Electric Plant Board of the City of Glasgow, KY",270-651-8341,www.glasgowepb.net,KY,Fixed Broadband,No
"TNC Communications, Inc.",TNC Communications,,919-275-5172,www.tncconnected.com,"FL, GA, NC, SC, TX",Fixed Broadband or Mobile Broadband,Yes
Midstates Data Transport,Stealth Broadband,Tumkey Holdings,402-347-1010,www.stealthbroadband.com,NE,Fixed Broadband,No
"EMPOWER Broadband, Inc.",,Mecklenburg Electric Cooperative,434-636-2274,www.empowermec.net,VA,Fixed Broadband,No
"ElektraFi, LLC",ElektraFi,,409-216-0888,www.elektrafi.com,TX,Fixed Broadband,No
GoNetworkPR Inc,,,787-604-3509,www.gonetworkpr.com,PR,Fixed Broadband,No
"Citynet West Virginia, LLC",Citynet,"Citynet Holdings, LLC",800-881-2638,www.citynet.net,WV,Fixed Broadband,No
Limestone Cable Vision,Limestone Cable Vision,"Standard Tobacco Company, Inc.",606-564-9220,www.limestonecable.com,KY,Fixed Broadband,No
Pacific Data Systems,,,671-300-0220,www.pdsguam.com,"GU, MP",Fixed Broadband,No
Spencer Municipal Communications Utility,Spencer Municipal Utilities,,712-580-5800,www.smunet.net,IA,Fixed Broadband,No
Safe Net Corp,,,787-624-5555,www.safenetpr.com,PR,Fixed Broadband,No
"Bayland Telephone, LLC",Nsight Telservices,"Northeast Communications of Wisconsin, Inc.",920-826-5215,www.nsighttel.com,WI,Fixed Broadband,No
"Niagara Telephone Company, LLC",Nsight Telservices,"Northeast Communications of Wisconsin, Inc.",715-251-3116,www.nsighttel.com,WI,Fixed Broadband,No
"Northeast Telephone Company, LLC",Nsight Telservices,"Northeast Communications of Wisconsin, Inc.",920-865-7000,www.nsighttel.com,WI,Fixed Broadband,No
AmigoNet,,,787-883-0576,www.amigonetpr.com,PR,Fixed Broadband,No
XAirnet Corp.,,XAirnet Corp.,787-879-5755,www.xsn.net,PR,Fixed Broadband,No
Shelby Electric Cooperative,,,217-774-3986,https://shelbyelectric.coop/,IL,Fixed Broadband,No
Nifinet Inc.,,,787-687-2119,www.nifinet.com,PR,Fixed Broadband,No
"Southern Ohio Communication Services, Inc.",,,740-947-2409,www.socs.cc,OH,Fixed Broadband,No
"Mobile Communications, LLC",,,662-570-4858,https://mobilecommllc.com/,MS,Fixed Broadband,No
"West Wisconsin Telcom Cooperative, Inc",,,715-664-8311,www.wwt.net,WI,Fixed Broadband,No
Bristol Tennessee Essential Services,,,423-968-1526,www.btes.net,TN,Fixed Broadband,No
Monroe Telephone Company,,,541-847-5135,www.monroetel.com,OR,Fixed Broadband,No
Bracken Cable Vision,Bracken Cable Vision,"Standard Tobacco Company, Inc.",606-564-9220,www.limestonecable.com,KY,Fixed Broadband,No
Emerald Cable LLC,Emerald Cable LLC,,541-833-0545,www.laneFi.com,OR,Fixed Broadband,No
South Slope Cooperative Telephone Company,,,319-626-2211,www.southslope.com,IA,Fixed Broadband,No
"TaosNet, LLC",,,575-758-7598,https://taosnet.com/,NM,Fixed Broadband,No
"SkyFiNet, LLC.",SkyFiNet,,870-919-1454,www.skyfinet.com,AR,Fixed Broadband,No
"North East Fiber, LLC",SPARC,,1-833-637-7272,www.nesparc.com,MS,Fixed Broadband,No
"NNTC Wireless, LLC","Nucla-Naturita Telephone Company and/or NNTC Wireless, LLC",Nucla-Naturita Telephone Company,970-864-7335 or 866-878-6682,www.nntc.biz,CO,Fixed Broadband or Mobile Broadband,No
"Snowcloud Services, LLC","Southeast Communication Services, LLC",,907-789-0048,www.snowcloudservices.com,AK,Fixed Broadband,No
"Arkansas Rural Internet Services, LLC",,,1-870-798-2201,www.arisark.us,AR,Fixed Broadband,No
"Board of Water, Light & Sinking Fund Commissioners of the City of Dalton, GA d/ba Dalton Utilities",Dalton Utilities,,706-278-1313,www.dutil.com/,GA,Fixed Broadband,No
"XDar Wireless, LLC",AirNet,,787-493-1280,www.airnetprs.com,PR,Fixed Broadband,No
Coon Rapids Municipal Communications Utility,,,712-999-2225,www.crmu.net,IA,Fixed Broadband,No
Pueblo of Jemez,,,505-318-1915,http://jemezpueblo.net/,NM,Fixed Broadband,No
"Bee Line, Inc.",,,1-800-439-4611,www.getbeeline.com,ME,Fixed Broadband,No
"Tombigbee Fiber, LLC",,,877-342-3728,www.tombigbeefiber.com,MS,Fixed Broadband,No
Braveway Communications,Braveway Wireless,,580-566-2285,www.bravewaywireless.com,OK,Fixed Broadband,No
Bluespan Wireless,,,888-774-2583,www.bluespan.com,"AZ, WA",Fixed Broadband,No
Fastlink Communications Inc,,,787-693-4040,https://fastlinkpr.com,PR,Fixed Broadband,No
Rural Telephone,RTI,ETC,1-888-366-7821,www.rtci.net,"ID, NV",Fixed Broadband,No
Pend Oreille Telephone,RTI,,1-888-366-7821,www.rtci.net,WA,Fixed Broadband,No
Nehalem Telecommunications,RTI,,1-888-366-7821,www.rtci.net,OR,Fixed Broadband,No
Heart of Iowa Communications Cooperative,,,641-486-2211,www.heartofiowa.coop,IA,Fixed Broadband,No
"Farmers Telephone Company, Inc.",,,877-828-8656,www.farmerstelecom.com,CO,Fixed Broadband,No
Shenandoah Cable Company,"Shentel, Glofiber, Beam Wireless",Shenandoah Telecommunications Company,1-800-743-6835,www.shentel.com,"KY, MD, VA, WV",Fixed Broadband,No
"Hughes Network Systems, LLC",,,844-737-2700,www.hughesnet.com,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Fixed Broadband,No
JG Dish & Cellular Inc,,JG Net,787-914-1586,www.jgnetpr.com,PR,Fixed Broadband,No
"Hopi Telecommunications, Inc.",,,928-522-8428,www.hopitelecom.com,AZ,Fixed Broadband,No
Carlos Lugo Pacheco,Go Net,GO NET,787-820-4141,www.gonetpr.info/,PR,Fixed Broadband,No
End-User Computing,TOAST.net Internet Service,,419-292-2200 Option 2,www.toast.net/,"AL, AR, CA, FL, GA, IL, IN, KS, KY, LA, MI, MS, MO, NV, NC, OH, OK, SC, TN, TX, WI",Fixed Broadband,No
"Cosotnet, Inc.",,,787-500-7026,www.cosotnet.com,PR,Fixed Broadband,No
TS Network Inc.,,,787-569-2900,www.tsnetworkpr.com,PR,Fixed Broadband,No
"Gateway Fiber Infrastructure, LLC",Gateway Fiber,"Gateway Fiber Holdings, LLC",888-201-4339,www.gatewayfiber.com,MO,Fixed Broadband,No
"Skybeam, LLC",Rise Broadband,"JAB Wireless, Inc.",844-816-9149,www.risebroadband.com,"CO, ID, IL, IN, IA, KS, MN, MO, NE, NV, OK, SD, TX, UT, WI, WY",Fixed Broadband,No
"Springville Co-operative Telephone Association, Inc.",,,319-854-6107,www.springvilletelephone.com,IA,Fixed Broadband,No
"Windy City Cellular, LLC",Windy City Broadband,"Adak Eagle Enterprises, LLC",907-222-0844,https://adaktu.net/,AK,Fixed Broadband or Mobile Broadband,Yes
CONSOLIDATED TELCOM,,,701-483-4000,www.consolidatednd.com,NDSD,Fixed Broadband,No
City of Marshall,Marshall FiberNet,,269-558-4842,www.marshallfibernet.com,MI,Fixed Broadband,No
Babcock Enterprises LLC,Straight Shot Wireless,,575-208-7915,www.sswireless.net,NM,Fixed Broadband,No
Health Numeric LLC,,,833-832-4767,www.healthnumeric.com,MI,Fixed Broadband,No
"Quantum Telecommunications, Inc.",,,410-239-6920,www.qis.net/,MD,Fixed Broadband,No
Lane Fi,,,541-833-0545,www.LaneFi.com,OR,Fixed Broadband,No
"Northern Arkansas Telephone Company, Inc.",NATCO,"NATCO Communications, Inc.",800-775-6682,www.natconet.com,AR,Fixed Broadband,No
Signalnet Inc,Signalnet Broadband,,972-429-9306,www.signalnetbroadband.com,TX,Fixed Broadband,No
Liberty Mobile USVI Inc.,"(formerly AT&T Mobility USVI, Inc)",,1-800-331-0500,https://mobile.libertyvi.com,VI,Mobile Broadband,No
"Consolidated Communications Networks, Inc.",,,701-483-4000,www.consolidatednd.com,ND,Fixed Broadband,No
"Brantley Telephone Co., Inc.",,Strickland Communications Inc.,912-462-5111,www.btconline.net,GA,Fixed Broadband,No
"Atkins Telephone Company, Inc.",ATC Communications,,319-446-7331 or 319-999-9000,www.atccomm.net,IA,Fixed Broadband,No
CarolinaConnect Cooperative,CarolinaConnect,,803-785-3455,www.carolinaconnect.com,SC,Fixed Broadband,No
Innet Connection Incorporated,,,787-965-7733,www.innetpr.com,PR,Fixed Broadband,No
"TecInfo Communications, LLC",,,662-686-9009,www.tecinfo.net,MS,Fixed Broadband,No
Western Iowa Wireless,,,712-485-7200,www.wiaw.net,"IA, NE",Fixed Broadband,No
Hunter Communications & Technologies LLC,Hunter Communications,Hunter Communications Intermediate Holding LLC,541-772-9282,www.hunterfiber.com,"CA, OR",Fixed Broadband,No
Washington County Rural Telephone,Tele-Media Solutions,,812-967-3171,www.telemedia.coop,IN,Fixed Broadband,No
DMCI Broadband LLC,,,877-936-2422,www.dmcibb.net,MI,Fixed Broadband,No
"Mercury Wireless Kansas, LLC.",Mercury Broadband,"Mercury Broadband, LLC.","800-354-4915, Option 2",www.mercurybroadband.com,"KS, MO",Fixed Broadband,No
"Pine Cellular Phones, Inc.",,,580-584-3330,www.pinecellular.com,OK,Fixed Broadband or Mobile Broadband,No
"Mercury Wireless Indiana, LLC.",Mercury Broadband,"Mercury Broadband, LLC.","800-354-4915, Option 2",www.mercurybroadband.com,"IN, MI, OH",Fixed Broadband,No
City of San Bruno,San Bruno CityNet Services,,650-616-3100,www.sbcitynet.com,CA,Fixed Broadband,No
Big Dog Internet Puerto Rico LLC,,,787-494-2121,www.bigdoginternet.com,PR,Fixed Broadband,No
"Mountain Tower Network & Company, LLC",Shastabeam,,530-605-2204,www.Shastabeam.com,CA,Fixed Broadband,No
"City Communications, Inc",,,888-424-5588,www.citycom.co,"AL, CA, FL, KY, LA, MI, MS, NC, TN",Fixed Broadband or Mobile Broadband,Yes
"Sonic Spectrum, Inc.",,,815-904-8700,www.sonicpcs.com,"IL, WI",Fixed Broadband,No
TECHNOGENESIS - Computer Solutions,Saul Narvaez,,787-483-7202,www.technogenesispr.net,PR,Fixed Broadband,No
Natural Wireless LLC,Natural Wireless,,877-777-7930,www.naturalwireless.com,"NJ, NY",Fixed Broadband or Mobile Broadband,No
"Blackfoot Communications, Inc.",Blackfoot Communications,,866-541-5000,www.blackfootcommunications.com,MT,Fixed Broadband,No
Nez Perce Network Systems,,Nez Perce Tribe,208-621-3885,www.nezpercesystems.com,ID,Fixed Broadband,No
"RB3, LLC",Reach Broadband,,800-687-1258,www.reachbroadband.net,TX,Fixed Broadband,No
Wtechlink,Pendleton Fiber,,541-276-2887,www.wtechlink.com/,OR,Fixed Broadband,No
Scio Mutual Telephone Association,"SMTA, SMT-Net",,503-394-3366,www.smta.coop,OR,Fixed Broadband,No
Washington Telco LLC,Washington Telco,"Washington Broadband, INC",509-853-0858,www.wabroadband.com,WA,Fixed Broadband,No
Natural State Wireless,,LLC,501-289-9350,www.nswireless.com,AR,Fixed Broadband,No
"Palomar Broadband, Inc.",Valley Center Wireless,"Palomar Broadband, Inc.",760-749-0828,www.vcweb.org,CA,Fixed Broadband,No
"Prentiss Electric Broadband, LLC",Prentiss Connect,,662-728-4433,www.prentissconnect.com,MS,Fixed Broadband,No
"RTA America, Inc.","Rural Telecommunications of America, Inc.",,409-684-7021,www.rtatel.com,TX,Fixed Broadband,No
Montrose Mutual Telephone Company,,,618-665-3311,www.wabash.net,IL,Fixed Broadband,No
ALE-NET INC.,Antoniol Electronic,ALE-NET INC.,787-242-7333,www.alenet.co,PR,Fixed Broadband,No
"Tekify, LLC",Tekify Fiber & Wireless,,510-266-5800,www.tekify.com,CA,Fixed Broadband,No
"Campti-Pleasant Hill Telephone Co., Inc.",EPICTOUCH,EPICTOUCH CO,800-554-4250,www.epictouch.com,LA,Fixed Broadband,No
"Sky Cap Solutions, LLC",SkyFi WISPernet,,870-201-1511,https://skycapnetworktv.wixsite.com/skycapsolutions/skyfi-wispernet-1,AR,Fixed Broadband,No
Natural G.C. Inc.,,,787-800-0444,www.naturalpr.net,PR,Fixed Broadband,No
Netspeed LLC,GoNetspeed,Oak Hill Capital Partners,855-891-7291,www.gonetspeed.com,"CT, PA",Fixed Broadband,No
"The Electric and Water Plant Board of the City of Frankfurt, Kentucky",FPB or Frankfurt Plant Board,,502-352-4372,www.fpb.cc,KY,Fixed Broadband,No
"AWC, LLC",Wake Wireless,,918-335-9253,www.wakewireless.com,OK,Fixed Broadband,No
Ranch Wifi,,,805-995-4181,www.ranchwifi.com,CA,Fixed Broadband,No
SVE Connect LLC,,Broadband Provider,423-837-8605,www.sveconnect.com,TN,Fixed Broadband,No
"TransWorld Network, Corp.",,"PCC Holdings, Inc.",800-950-3015,www.twncomm.com,"AZ, IN, NM, TX",Fixed Broadband,No
"Aptitude Internet, LLC",Aptitude Internet,,573-755-0555,www.aptitudeinternet.com,MO,Fixed Broadband,No
BTI Communications Inc.,Telzeq Communications Inc.,,718-887-9881,www.telzeq.com,NY,Fixed Broadband or Mobile Broadband,No
"D & P Communications, Inc.",Deerfield Farmers Telephone Co,,734-279-1339,www.d-pcomm.com,MI,Fixed Broadband,No
"Crocker Communications, Inc.",,,413-654-1000,www.crocker.com,MA,Fixed Broadband,No
"Pioneer Wireless, Inc.",Pioneer Broadband,FA Peabody Company,207-532-1254,www.pioneerbroadband.net,ME,Fixed Broadband,No
"Fort Code, Inc.",Weiss Internet,,256-706-4121,www.weissinternet.com,AL,Fixed Broadband,No
"Tishomingo Connect, LLC",,,844-847-4775,www.tishomingoconnect.com,MS,Fixed Broadband,No
